county,district,section,number,xcenter,ycenter
桃園市,平鎮區,台水段,610-14,121.192639468505,24.930738724417502
桃園市,平鎮區,雙連段,570,121.181204093455,24.961063286209
桃園市,平鎮區,東社段,711-10,121.24392396222501,24.924249140245003
桃園市,八德區,八塊段,941-8,121.298030067415,24.929535422579
桃園市,八德區,大竹段,689-3,121.32258975702999,24.947514958406998
桃園市,蘆竹區,水尾段,1033,121.2768282483,25.0593519691855
桃園市,蘆竹區,河底段,613,121.293624819005,25.038430147415
桃園市,蘆竹區,大竹圍段,242-27,121.260278753455,25.0252611744495
桃園市,蘆竹區,中興段,671,121.33462717716,24.992353414267
桃園市,蘆竹區,中興段,173,121.33805528418,24.994680947863
桃園市,新屋區,蚵殼港段深圳小段,872,121.018281635565,24.961451806620502
桃園市,中壢區,仁德段,251,121.256644070955,24.953251929979
桃園市,中壢區,後寮段,546-8,121.231781572725,24.947298244164003
桃園市,中壢區,山嶺段,80,121.17465768048001,24.9718117718385
桃園市,中壢區,大享段,477,121.19163419381499,24.978156470524
桃園市,觀音區,草富段,288,121.13888047387,25.046096503836
桃園市,八德區,大義段,786,121.301486189705,24.9644431786835
桃園市,八德區,大勇段,150-1,121.305763281935,24.969195931143503
桃園市,中壢區,普義段,740,121.23244287561499,24.9631146277395
桃園市,蘆竹區,大新段,410,121.255560151485,25.0226634069815
桃園市,大園區,圳股頭段古亭小段,446,121.20093630454,25.092769541407
桃園市,八德區,八塊段,1058-3,121.282357819465,24.9223301459275
桃園市,八德區,興豐段,2593,121.29116928119001,24.933283758482
桃園市,平鎮區,富貴段,352,121.22309058264,24.9197921368735
桃園市,新屋區,大坡段大坡小段,387,121.0430782428,24.968306084234
桃園市,新屋區,崁頭厝段下庄子小段,620,121.036497720065,24.9896802318445
桃園市,楊梅區,草湳坡段草湳坡小段,35-11,121.174277283685,24.9134132545245
桃園市,大溪區,番子寮段,751-1,121.2489636422,24.860759647960002
桃園市,龍潭區,三角林段,61-33,121.238248456475,24.851885782071
桃園市,龍潭區,三角林段,61-34,121.238382738685,24.85164750978
桃園市,龍潭區,石門段,144,121.23809482672,24.8234445445395
桃園市,龍潭區,八張犁段,154-62,121.195811045465,24.871631532004997
桃園市,龍潭區,八張犁段,155-22,121.195477860415,24.871085884407
桃園市,中壢區,聖德段,58,121.221392506955,24.985788754136998
桃園市,中壢區,雙嶺段,549,121.16489753619,24.959352568271
桃園市,中壢區,忠福段,2479-11,121.231571344415,24.964707482623503
桃園市,觀音區,中觀段,1127,121.14991288440001,24.965643489626
桃園市,中壢區,永清段,479,121.227699991165,24.987048684315
桃園市,桃園區,新埔段,935,121.3019837311,25.012741134300498
桃園市,桃園區,新埔段,936,121.30224656440501,25.012619788868
桃園市,大園區,埔心段埔心小段,533-2,121.225829175865,25.050381644927
桃園市,大園區,五塊厝段大埔小段,1485,121.243558707115,25.011890008328
桃園市,蘆竹區,蘆興段,292,121.267432817105,25.0491943926705
桃園市,新屋區,十五間段十五間尾小段,695,121.03767834242501,24.9485878679845
桃園市,新屋區,社子段,1344,121.08003613864,24.9583731992055
桃園市,蘆竹區,南新段,953,121.29422454925,25.0411287783315
桃園市,蘆竹區,富竹段,114,121.269094834765,25.0273900643395
桃園市,桃園區,皮寮段,462-18,121.28459566752,24.977955329734
桃園市,桃園區,同安段,1796,121.307688378255,25.014711098488
桃園市,中壢區,青溪段,444-6,121.203675587105,25.007075394609
桃園市,中壢區,興南段公坡小段,621-12,121.221147242745,24.9655817338655
桃園市,中壢區,興南段公坡小段,620-29,121.220934480465,24.9656603014515
桃園市,中壢區,興南段公坡小段,621-14,121.220898509685,24.965453447826
桃園市,龍潭區,九座寮段,317-173,121.239223859225,24.8682363043515
桃園市,龍潭區,九座寮段,317-174,121.239158043575,24.868172039770002
桃園市,龍潭區,九座寮段,317-162,121.23873217105,24.868408749376
桃園市,龍潭區,凌雲段,577,121.20723691276001,24.863924203161503
桃園市,大溪區,仁武段,151,121.27873517642,24.8960741828085
桃園市,大園區,埔心段海豐坡小段,1015,121.21774224243501,25.054696655976002
桃園市,蘆竹區,福興段,25,121.28251759706001,24.93630369534
桃園市,大園區,竹圍段三塊石小段,42-2,121.25565095596,25.074613665569
桃園市,新屋區,埔頂段水碓小段,579,121.10413080634,24.959785624309
桃園市,新屋區,十五間段十五間小段,370,121.053555174395,24.950232277511
桃園市,新屋區,十五間段十五間小段,1890,121.06708708536999,24.9457695916535
桃園市,蘆竹區,錦明段,299,121.28984043503499,25.04933394119
桃園市,大園區,竹圍段拔子林小段,287-6,121.260919653125,25.075160769863
桃園市,蘆竹區,河底段,141,121.28600470127,25.041879600917
桃園市,中壢區,中原段,656-8,121.24466255990001,24.963189429245503
桃園市,觀音區,觀玉段,20-13,121.081899729295,25.046879981523503
桃園市,觀音區,茄苳坑段對面厝小段,126,121.049140842355,25.01564379901
桃園市,中壢區,雙嶺段,1496-11,121.169436283025,24.9596676547425
桃園市,桃園區,大樹林段,677-22,121.31613840347501,24.986958894352
桃園市,楊梅區,高獅段,52,121.146180268795,24.924268693879
桃園市,楊梅區,高獅段,19,121.146901766355,24.924885633571
桃園市,蘆竹區,中興段,137,121.33755851609001,24.995020426500503
桃園市,大溪區,三層段三層小段,1656,121.29650120385,24.8598147893975
桃園市,觀音區,草漯段,178-1,121.143711460235,25.051500071467
桃園市,新屋區,中興段,806,121.334400073755,24.992152062244998
桃園市,新屋區,富九段,176,121.133583310165,24.972062641843003
桃園市,新屋區,大坡段大坡小段,728,121.041618892185,24.9627584256535
桃園市,楊梅區,仁美段,220,121.26456937175999,24.9539871318505
桃園市,中壢區,上嶺段,238,121.169064174955,24.980102926126
桃園市,觀音區,上大段,145,121.131532625845,24.9941521623405
桃園市,大園區,埔心段埔心小段,1599,121.21664716360999,25.0449950359235
桃園市,大園區,北園段,150,121.19653956607,25.065764200814
桃園市,蘆竹區,大竹圍段,288-11,121.25404706305,25.031861197737
桃園市,大園區,埔心段埔心小段,1611,121.215891635755,25.04685935794
桃園市,八德區,茄明段,847,121.27980365541,24.982195000451
桃園市,八德區,大忠段,765,121.300601217085,24.9618203294625
桃園市,八德區,大忠段,837,121.301645822365,24.9609261792625
桃園市,平鎮區,鎮安段,1331,121.199221575085,24.9225342371065
桃園市,楊梅區,富岡段,2179,121.06474084676,24.929791726746
桃園市,新屋區,笨子港段笨子港小段,6,121.04444615611999,24.976713901062
桃園市,楊梅區,草湳坡段埔心小段,20-589,121.18330546133001,24.9084148252605
桃園市,楊梅區,楊湖段,1394,121.06143383274,24.9181922163395
桃園市,大溪區,內柵段下崁小段,521-16,121.272369673345,24.8495032225265
桃園市,中壢區,興南段興南小段,182-2,121.219099347715,24.9587573996115
桃園市,中壢區,三座屋段舊社小段,37-33,121.21657013820001,24.968331588731502
桃園市,觀音區,忠愛段,1215,121.14626585628,24.9978391493615
桃園市,中壢區,三座屋段三座屋小段,644-84,121.210861149655,24.959097377351
桃園市,龜山區,新路段,458,121.32831230064,24.993143950304997
桃園市,龜山區,新路段,459,121.328334434775,24.993181835712498
桃園市,龜山區,新路段,458-1,121.32825823847,24.9931059094965
桃園市,大園區,橫山段尖山小段,36-10,121.206160045465,25.0506276138975
桃園市,大園區,雙溪口段溪洲子小段,160-2,121.18404564388,25.047812514221
桃園市,大園區,埔心段海豐坡小段,456,121.21669489478501,25.0588620893075
桃園市,楊梅區,啟明段,330,121.168108556705,24.9400955322535
桃園市,新屋區,下田心子段員笨小段,328,121.06216132541999,25.000595013155
桃園市,新屋區,長祥段,522-5,121.11989252602501,24.9584854318825
桃園市,楊梅區,員富段,284-1,121.090293523955,24.936440791762003
