year_s,鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,土地位置
111-1,蘆竹區,土地,富興段729地號,925.62,農,,,1101201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,165000,178.0,,0.0,0,含增建或未登記建物。；,RPSOMLTLKIGGFEH98CC,桃園市蘆竹區富興段729地號
111-1,蘆竹區,土地,富竹段574地號,1983.47,農,,,1101230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,120000,61.0,,0.0,0,,RPOQMLMKJHHGFEH87CC,桃園市蘆竹區富竹段574地號
111-1,新屋區,土地,青田段448地號,247.93,,一般農業區,農牧用地,1110110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,35000,141.0,,0.0,0,含增建或未登記建物。；倉庫,RPSPMLNKJHHGFDH18CC,桃園市新屋區青田段448地號
111-1,中壢區,土地,三民段257地號,396.7,農,,,1101218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,151.0,,0.0,0,含增建或未登記建物。；,RPUTMLRKJHHGFBH98CC,桃園市中壢區三民段257地號
111-1,平鎮區,土地,北商段307地號,661.16,,一般農業區,農牧用地,1101227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,80000,121.0,,0.0,0,含增建或未登記建物。；含管理費、稅金或水電等費用。；,RPRNMLKLJHHGFGH97CC,桃園市平鎮區北商段307地號
111-1,大園區,土地,圳股頭段古亭小段277地號,1005.0,,一般農業區,農牧用地,1110104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,70000,70.0,,0.0,0,含增建或未登記建物。；,RPUOMLQLJHHGFEH78CC,桃園市大園區圳股頭段古亭小段277地號
111-1,楊梅區,土地,楊梅段14-4地號,81.0,住,,,1110105,土地1建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,15000,185.0,,0.0,0,,RPSPMLQLJHHGFDH58CC,桃園市楊梅區楊梅段14-4地號
111-1,中壢區,土地,內壢段1381地號,1628.0,,一般農業區,農牧用地,1110118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,240000,147.0,,0.0,0,含增建或未登記建物。；,RPQPMLSJKHHGFBH28CC,桃園市中壢區內壢段1381地號
111-1,中壢區,土地,永清段604-3地號,550.74,其他,,,1110115,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,13000,24.0,,0.0,0,地上有鐵皮屋及貨櫃2個，面積約30坪，未有保存登記，實際使用面積，扣除菜圃20坪，可運用約146坪,RPWNMLTJKHHGFBH88DC,桃園市中壢區永清段604-3地號
111-1,平鎮區,土地,平東段238地號,204.06,住,,,1101211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,33000,162.0,,0.0,0,1.含未保存登記建物2.租金35000元整前三年33000元整,RPOPMLOKKHHGFGH28CC,桃園市平鎮區平東段238地號
111-2,蘆竹區,土地,中興段1201地號,1157.0,,一般農業區,農牧用地,1110317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,14800,13.0,,0.0,0,,RPPQMLRKLHHGFEH68CC,桃園市蘆竹區中興段1201地號
111-2,龍潭區,土地,民有段436地號,3655.43,農,,,1110311,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,3.0,,0.0,0,含增建或未登記建物。；,RPUNMLOLLHHGFCH58DC,桃園市龍潭區民有段436地號
111-2,中壢區,土地,三民段257地號,502.48,農,,,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,70000,139.0,,0.0,0,含增建或未登記建物。；第1~6個月租金7萬；第7~12個月租金7.2萬；第二年月租金7.2萬。,RPPOMLSLLHHGFBH38CC,桃園市中壢區三民段257地號
111-2,龜山區,土地,頂湖段1026地號,1057.85,其他,,,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,193600,183.0,,0.0,0,含增建或未登記建物。；含管理費、稅金或水電等費用。；,RPUNMLSLLHHGFHH76CC,桃園市龜山區頂湖段1026地號
111-2,龜山區,土地,頂湖段1026地號,3078.64,其他,,,1110310,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,453750,147.0,,0.0,0,含增建或未登記建物。；含管理費、稅金或水電等費用。；,RPOPMLLMLHHGFHH38CC,桃園市龜山區頂湖段1026地號
111-2,中壢區,土地,興南段公坡小段108-2地號,373.55,其他,,,1110301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,60000,161.0,,0.0,0,含增建或未登記建物。；,RPSOMLLMLHHGFBH08CC,桃園市中壢區興南段公坡小段108-2地號
111-2,中壢區,土地,自立段520地號,542.0,其他,,,1110331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,12000,22.0,,0.0,0,急出租急承租。；,RPPOMLQJMHHGFBH08CC,桃園市中壢區自立段520地號
111-2,中壢區,土地,自立段463地號,3255.0,其他,,,1110331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,68000,21.0,,0.0,0,急出租急承租。；,RPSOMLQJMHHGFBH38CC,桃園市中壢區自立段463地號
111-2,楊梅區,土地,長紅段1290地號,13224.0,,特定農業區,丁種建築用地,1110322,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,660000,50.0,,0.0,0,,RPXOMLQJMHHGFDH09CC,桃園市楊梅區長紅段1290地號
111-2,新屋區,土地,青田段669地號,1138.5,,特定農業區,農牧用地,1110328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,170775,150.0,,0.0,0,含增建或未登記建物。；承租用途:倉庫.,RPOPMLQJMHHGFDH28CC,桃園市新屋區青田段669地號
111-2,中壢區,土地,興南段興南小段190-162地號,6.4,其他,,,1110317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,13800,2156.0,,0.0,0,,RPRQMLLKMHHGFBH08CC,桃園市中壢區興南段興南小段190-162地號
111-2,八德區,土地,白鷺段445地號,238.89,農,,,1110315,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,38000,159.0,,0.0,0,含增建或未登記建物。；,RPOOMLNKMHHGFFH18CC,桃園市八德區白鷺段445地號
111-2,大園區,土地,橫山段尖山小段3地號,24676.0,其他,,,1110331,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,827481,34.0,,0.0,0,含增建或未登記建物。；含管理費、稅金或水電等費用。；,RPUPMLPKMHHGFEH98CC,桃園市大園區橫山段尖山小段3地號
111-2,八德區,土地,廣隆段812地號,2049.58,,特定農業區,農牧用地,1110324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,80000,39.0,,0.0,0,,RPQQMLSKMHHGFFH09CC,桃園市八德區廣隆段812地號
111-2,楊梅區,土地,楊梅段68-18地號,50.0,住,,,1110413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,17000,340.0,,0.0,0,含增建或未登記建物。；,RPSNMLSKMHHGFDH88DC,桃園市楊梅區楊梅段68-18地號
111-2,觀音區,土地,育仁段466地號,2039.68,,特定農業區,農牧用地,1110328,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,188000,92.0,,0.0,0,含增建或未登記建物。；,RPOVMLTKMHHGFBH09CC,桃園市觀音區育仁段466地號
111-2,平鎮區,土地,中興段726-2地號,7920.1,,山坡地保育區,農牧用地,1110325,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,1110000,140.0,,0.0,0,含增建或未登記建物。；含管理費、稅金或水電等費用。；,RPWOMLTKMHHGFGH07CC,桃園市平鎮區中興段726-2地號
111-2,平鎮區,土地,南華段1076地號,82.08,住,,,1110401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,25000,305.0,,0.0,0,含增建或未登記建物。；本建物座落在平鎮區中豐路南勢二段175號未辦理保存登記故無建號本簽約日為111.4.1給予承租方2星期的裝修期實際起算日自111.4.16至116.4.15止水電費由承租方自行支付,RPRNMLMLMHHGFGH58DC,桃園市平鎮區南華段1076地號
111-2,新屋區,土地,青田段716-8地號,1206.61,,特定農業區,農牧用地,1110401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,180000,149.0,,0.0,0,含增建或未登記建物。；含管理費、稅金或水電等費用。；,RPXNMLTLMHHGFDH86CC,桃園市新屋區青田段716-8地號
111-2,桃園區,土地,汴洲段298-2地號,495.87,住,,,1110425,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,126000,254.0,,0.0,0,含增建或未登記建物。；土地持份出租約150坪,RPWOMLQJNHHGFAH78CC,桃園市桃園區汴洲段298-2地號
111-2,大園區,土地,竹圍段崁下小段411-82地號,4.65,住,,,1110424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,9000,1935.0,,0.0,0,含增建或未登記建物。；,RPXNMLTJNHHGFEH96DC,桃園市大園區竹圍段崁下小段411-82地號
111-2,八德區,土地,大忠段1089地號,247.02,商,,,1110428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,58000,235.0,,0.0,0,含未保存登記建物作店面使用。租賃期間含免租金裝潢期。,RPTOMLKKNHHGFFH48CC,桃園市八德區大忠段1089地號
111-2,新屋區,土地,頭洲段14地號,960.0,,特定農業區,丁種建築用地,1110418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,104000,108.0,,0.0,0,含增建或未登記建物。；,RPTNMLKKNHHGFDH18CC,桃園市新屋區頭洲段14地號
111-2,中壢區,土地,復興段1736地號,117.0,住,,,1110415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,85.0,,0.0,0,,RPQTMLKKNHHGFBH28CC,桃園市中壢區復興段1736地號
111-2,八德區,土地,廣隆段812地號,234.71,,特定農業區,農牧用地,1110418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,28000,119.0,,0.0,0,含未辦理保存登記之建物  土地範圍承租部份使用,RPQOMLSKNHHGFFH98CC,桃園市八德區廣隆段812地號
