land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
6,"24.975238794347,121.14639922842",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",4026.841833518424,4726.664641358357,5299.961002645348,1107.3168953422935,7014.3509140346005
27,"24.958417305235,121.16366925117",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",5907.1383982596,7224.724430235503,5965.902958534402,3072.4318347571066,8851.414341726186
40,"24.938845716074,121.083600720455",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",4255.86636442778,6959.075786764604,2407.5268878355464,6416.494346968949,3613.177168236184
46,"25.006790005836,121.13144959079",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",4688.390096849461,2671.8713073694157,7404.260075116857,4006.154132956554,6775.285970949847
54,"24.957758919292505,121.162884519995",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",5847.903279537567,7206.810424294696,5870.085506974301,3036.2518604877687,8784.988393694854
74,"24.976158140851,121.10645897718",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",581.3054053943948,2419.9769145999244,3580.4439384907296,3089.2064610036477,3021.4005940317343
75,"24.974538515409,121.07739775784",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",2995.8525449239282,3945.6353153270366,4514.672149595248,5982.063375796507,402.04984924607135
76,"24.9605288960605,121.042465227075",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6597.67617412121,7708.841050165296,6755.183052482297,9565.874290614936,3681.1966044730325
80,"24.9751513581325,121.146229745615",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",4008.707825973918,4717.391777237828,5280.693787456647,1087.6999884129054,6996.624720403638
106,"24.9718117718385,121.17465768048",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6852.440367656351,7439.945495516362,7520.580272775614,3853.2570167889107,9851.961458267744
129,"24.965643489626,121.1499128844",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",4392.326551120933,5638.721453840448,4978.950003847002,1474.25536657213,7376.2721615826185
137,"24.9583731992055,121.08003613864",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",3039.087625649663,5154.934327466289,3146.2416139891507,5869.500262076299,1421.2271548083513
154,"24.959785624309,121.10413080634",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",1262.4728538251022,4241.9296566209,1787.1158008316781,3494.402873902003,2995.902479811088
155,"24.950232277511,121.053555174395",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",5844.847231174106,7543.576576644689,5423.930698938022,8684.671729288111,3301.6587894316685
163,"24.9596676547425,121.169436283025",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6446.459042270091,7617.521088673094,6564.077227826536,3550.873614128708,9407.63455328033
165,"24.924268693879,121.146180268795",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6520.82178664184,9084.248367396585,4529.77078268822,5259.119122083194,8682.607297023174
166,"24.924885633571,121.146901766355",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6511.857641921174,9055.19603763257,4562.034769350326,5206.182948130578,8701.029778483682
171,"24.972062641843003,121.133583310165",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",2707.2654362575,3945.6403471666417,4134.070447194021,321.4189739631225,5705.443344718566
172,"24.9627584256535,121.041618892185",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6643.697470068681,7652.0288224147525,6908.252174370228,9624.303024694162,3694.3736566232665
174,"24.980102926126,121.169064174955",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6368.490347782102,6591.322624060514,7461.221373117389,3440.889869916125,9341.90911075811
175,"24.9941521623405,121.131532625845",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",3585.8215449667055,2532.905643692862,6107.422696388399,2622.114847150903,6069.131186239318
184,"24.929791726746,121.06474084676",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6228.8324022843535,8667.72911126813,4524.082532416429,8560.8412198711,4723.5231562824365
185,"24.976713901062,121.04444615612",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",6328.688529781549,6722.544968007452,7274.06447838617,9317.868194837682,3358.2841927986055
187,"24.9181922163395,121.06143383274",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",7423.451630855731,9957.287624618664,5391.462093705041,9571.03594725791,6051.0488011824455
191,"24.9978391493615,121.14626585628",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",4976.75807002559,3984.091887973436,7187.714097144049,3140.43533448839,7593.877656316656
199,"24.9400955322535,121.168108556705",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",7070.352963520635,8914.503285800367,6205.765851948425,4673.511543471962,9805.077286837324
200,"25.000595013155,121.06216132542",7,"24.97091966655907,121.10680096941852","24.99800224792953,121.10680096941852","24.94383708518861,121.10680096941852","24.97091966655907,121.13650915004371","24.97091966655907,121.07709278879332",5578.342442768222,4515.544742302466,7735.996219895853,8194.516678387648,3616.4034625843738
