land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
3,"25.069847637479,121.197001776115",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",2204.5711478192316,2741.520289623181,4494.973994632982,1499.219468784847,5044.022703274867
4,"25.069778793687497,121.197219541125",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",2220.2614546537106,2762.4443807138846,4497.608238929238,1478.2980645267703,5063.923664609535
11,"25.0297321044635,121.217580983475",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",5249.832855154644,7541.6638584740795,4030.551881911295,3534.9178151087985,7784.680538290157
47,"25.046352584942,121.13741841905",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4360.6668576619195,6106.097791920681,4329.7704893853,7242.198375331442,1885.3052192827245
48,"25.0460740659335,121.206693911705",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3311.844298411479,5424.411102288317,3242.3607515954204,1578.5216152867354,6117.01871958574
55,"25.030801845003,121.217221975875",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",5146.13533742952,7422.110082636734,3984.7521135772204,3411.00569982234,7701.019872204614
61,"25.038610892515,121.138404036165",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4647.708938926959,6709.390030111347,4023.308702756054,7378.414431681019,2595.285748861449
62,"25.066893005932,121.119767508985",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",5903.555698814335,6282.105694778873,6945.469548186398,8885.78424856702,2952.4165995664907
63,"25.067037084738,121.11918627141",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",5963.727595479604,6331.114797589315,7003.537539057642,8945.544567492543,3013.1861405068944
77,"25.0665790241625,121.242632571755",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",6575.45446369137,6932.266432779511,7511.14797119595,3608.694147383527,9561.40996225004
79,"25.0336404392535,121.165577156765",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3201.858883179984,6080.573535218756,1237.3241320381412,5162.559387602659,3438.984919662575
89,"25.038930558754,121.217997602685",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4694.205811698296,6725.896618637029,4102.923463550531,2592.2051587405945,7438.122953645418
90,"25.028207763813,121.214604574905",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",5139.4060716212425,7532.802026395898,3752.9241162416183,3626.1760813232327,7592.987808663608
113,"25.092769541407,121.20093630454",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4285.910905537782,2406.0982437037146,6996.367402456888,3657.5418736366382,6428.581732387796
133,"25.050381644927,121.225829175865",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4966.620663954074,6344.833465807043,5203.67475879265,2148.2269339067666,7917.837903237606
142,"25.007075394609,121.203675587105",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",6447.490508199691,9270.754286164713,3897.9470474271184,5909.102455361189,8136.429343441422
151,"25.054696655976,121.217742242435",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4075.0145106420428,5415.620408365782,4677.9305040511335,1202.555592438496,7052.454329040878
169,"25.051500071467,121.143711460235",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3578.021959469968,5258.423687293197,3994.241191114245,6513.665242802056,1071.8578463961437
176,"25.0449950359235,121.21664716361",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4268.370654230242,6114.783896999795,4128.911394870169,1928.912706985831,7119.722749967085
177,"25.065764200814,121.19653956607",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",1982.4544074765568,3049.5958038791987,4069.4819242491985,1263.7838901687326,4922.728216665295
179,"25.04685935794,121.215891635755",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4119.412648312598,5907.805023256613,4127.647252444343,1711.3084563105872,6998.817963978982
196,"25.0506276138975,121.206160045465",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3053.0946894078065,4975.023130685981,3448.539105146194,1080.7810361192105,5953.742181985952
197,"25.047812514221,121.18404564388",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",1519.2265127298356,4428.3505373783955,1733.8744590280583,2744.68046623136,3880.15433190504
198,"25.0588620893075,121.216694894785",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3924.90910673856,5035.844686004988,4842.579168586804,937.755399281025,6921.097878583005
212,"25.075643126231,121.209083109455",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3582.0967787874265,3410.8442825698708,5659.453842345779,1706.395517491171,6381.203593449672
231,"25.0385485115175,121.21465329879",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4428.977332092635,6562.961352970131,3762.9443099213754,2514.5837728389142,7133.208880899257
238,"25.075840276724,121.20896117994",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3581.712384249339,3391.1775418756965,5670.774503408581,1727.0771851892187,6375.202988046858
239,"25.0760064267185,121.20884650007",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3580.4731536344652,3373.5431204710403,5679.720399126691,1744.5045464745692,6369.060934781557
240,"25.042891352599,121.2186025125",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4544.07133249869,6420.128185611116,4252.016324377646,2228.691201597789,7369.097019980313
245,"25.0411498126425,121.22026966018",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4779.42169045391,6676.042194087447,4372.268086085748,2480.421263801019,7583.336625978189
246,"25.042396006676,121.212940062765",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4060.5378684657358,6114.541973030499,3686.3035777932078,2057.2282546795363,6835.005977322817
247,"25.04214229323049,121.21313814904",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4091.7384513868315,6149.03073925788,3697.9170779902133,2089.659174234331,6862.329623795298
248,"25.041987017812,121.213351367665",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",4118.934970619852,6175.520298143322,3714.124745343934,2112.0992228072882,6887.9537097865705
262,"25.017092002559,121.22204090138",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",6543.712872626726,8974.21452128987,4806.704934387603,5005.468299604023,8863.570960534416
265,"25.011414024097498,121.17956805529",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",5418.480711634172,8417.512127491818,2421.9733759296296,6107.072572970329,6277.069853333549
266,"25.00708209258,121.136078378785",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",7246.4338498190855,9842.799244671463,5112.877562915489,9314.850124482024,6019.458390704592
296,"25.0047725802685,121.19596014057",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",6417.7388936410225,9332.493979898985,3644.1618704317066,6261.3021075334955,7819.839071113456
302,"25.041770883731,121.20998778184",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3839.9596729064465,6005.071131827336,3380.8615976292817,2067.7520275396073,6571.805886031665
304,"25.015572309757506,121.13354352279",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",6672.777571679161,9124.27292078246,4878.539808644672,8961.761210795772,5168.774052041935
305,"25.0258412048595,121.182063372435",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3841.337345316297,6830.915328958346,922.4451113701236,4602.332886643449,5128.9618869747865
315,"25.079896316618,121.207992105765",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",3737.9323194382605,3154.017734530659,5999.739979418708,2170.8775613030507,6418.695847175064
316,"25.062588448669,121.2024152138",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",2493.6649098292605,3701.1454861579773,4091.298755954017,575.4323701136418,5484.179239324148
317,"25.026912522748,121.21339978483",5,"25.06030333620801,121.17782860994362","25.08738591757847,121.17782860994362","25.033220754837547,121.17782860994362","25.06030333620801,121.20753679056881","25.06030333620801,121.14812042931842",5154.299911311625,7599.8352668104,3657.4141949731306,3745.8404248875936,7555.005675972714
