land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
5,"24.897067266491,121.2534864963",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",3038.9450441250824,4226.264633378416,4313.785680052197,6040.175131991797,72.04579916110842
7,"24.956113350809503,121.2597966866",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",7025.32798383404,4328.803498180424,9898.05387993027,8530.26213733042,6629.8604650680645
31,"24.841296187034,121.25510258163",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",6758.198994735611,9558.56825591937,4240.29486602182,8482.53451017019,6117.167442564283
34,"24.954344069270498,121.2536997411",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",7081.055032178579,4549.70699471069,9878.380157994847,8789.084724449991,6406.628039291539
44,"24.956592824505,121.301953378545",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",6910.198438159019,4100.729329482477,9832.86564729984,6753.102085070258,8240.581466405945
51,"24.92458378241,121.226303132955",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",6567.206582087524,5784.537960424652,8413.98483904365,9319.561044863598,4173.334654805455
65,"24.954580329144,121.257527058565",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",6949.444249005481,4323.970434057178,9792.46535488261,8548.750482441268,6443.492382226696
71,"24.902839649136503,121.30396629079",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",2177.8552327661014,3087.68568029855,4236.977279856314,1172.5434939068734,5111.6477915399555
73,"24.92462112708749,121.24882457745",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",4691.536286662461,3510.4110279553074,7049.656632384903,7216.640393531464,3155.2588006301203
83,"24.903596560098,121.27868695857",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",926.7226380075424,2268.783367450942,3817.0568503726968,3580.8088660302647,2629.262715495357
85,"24.9102362371145,121.283990719325",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",1521.329012231823,1479.920860406935,4520.881934532411,3325.7625537524523,3403.646314708791
95,"24.924249140245003,121.243923962225",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",5047.285637472472,4004.245906451798,7274.325978273299,7649.58993388379,3232.4206905873757
104,"24.953251929979,121.256644070955",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",6848.383069035683,4264.397212717393,9675.49317435462,8498.369298605607,6291.962476833496
115,"24.933283758482,121.29116928119",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",4145.631148703765,1320.5588618014283,7115.352355746843,4645.2378100997485,5550.4553223743615
116,"24.9197921368735,121.22309058264",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",6630.959679809516,6122.59032661557,8273.618732417088,9468.127711980325,4038.445441331228
146,"24.8682363043515,121.239223859225",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",5465.937583960753,7593.545699253069,4482.2722660599065,8110.7259834617835,3462.9158922240126
147,"24.86817203977,121.239158043575",6,"24.896507947731436,121.28355860709979","24.923590529101897,121.28355860709979","24.869425366360975,121.28355860709979","24.896507947731436,121.31326678772498","24.896507947731436,121.2538504264746",5475.468134950649,7603.21724637681,4489.136203601697,8119.612047775494,3472.193430355561
