land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
6,"24.975238794347,121.14639922842",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",1556.9315862699407,1544.6965135311757,4523.489211214136,3010.084571184455,3712.8388642487516
26,"24.9063802332425,121.178284913095",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",7108.737166493873,9811.170378067522,4775.914419532046,6151.974293598223,9012.72536025196
27,"24.958417305235,121.16366925117",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",2167.349392069516,3979.780043841601,3399.436366169164,933.2682263134234,5150.143035980004
39,"24.907371607940497,121.1068095386",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",7009.468133471762,9705.600499284661,4697.524679723169,8931.410416683191,6041.752142071549
40,"24.938845716074,121.083600720455",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",6462.014889765315,8117.886633013874,5967.850720760037,9297.942002423028,3881.5650704793115
46,"25.006790005836,121.13144959079",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",5124.264791304842,2291.2388101059573,8078.7559461623,6476.68107518037,5344.333375221278
50,"24.942810713609,121.20456644769",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",6605.981326397219,8071.264558409659,6335.038245668482,3876.7770617700767,9500.05271934006
53,"24.9416219612715,121.186218603145",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",4940.715772958034,6834.574688233428,4484.415449876894,2630.4480210102233,7739.811699161699
54,"24.957758919292505,121.162884519995",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",2102.925326113084,4000.1499669521695,3292.9320927369495,1035.0512631043096,5076.761821555581
72,"24.9511891845085,121.20783806465",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",6699.013847236528,7798.305123904202,6851.279584196073,3779.78152140983,9667.886529417032
74,"24.976158140851,121.10645897718",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",3978.732641371426,3895.9553400865634,5872.148219722649,6831.041273944431,1730.6291428397
75,"24.974538515409,121.07739775784",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",6727.234580804965,6758.235009369999,7927.016783327109,9679.605755054698,3848.94947736645
80,"24.9751513581325,121.146229745615",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",1543.2974669170103,1549.8176021606794,4512.379615052346,3020.1027294031387,3693.269012192844
91,"24.9028681767965,121.155802428015",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",6647.520645474341,9604.745280487092,3758.733064712592,6717.889448432098,7826.701176978468
94,"24.961063286209,121.181204093455",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",3908.9366185526524,4965.891295137555,4888.711145272774,910.6797490387094,6908.690481401605
106,"24.9718117718385,121.17465768048",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",3437.120761504497,3748.5062799301477,5251.31180726427,1153.5345415776385,6347.84719368602
107,"24.978156470524,121.191634193815",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",5287.895443870954,5096.993268756726,6924.1819307067235,2682.3138199707346,8168.607776015332
119,"24.9134132545245,121.174277283685",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",6232.217227987424,8938.215430598804,3973.5986221686044,5346.306741035417,8191.749749129851
129,"24.965643489626,121.1499128844",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",870.0416014339136,2663.8917751338954,3523.864150383117,2294.616297714965,3774.6239804052557
137,"24.9583731992055,121.08003613864",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",6318.135704142609,7147.145611828224,6837.835333439216,9314.808465468914,3327.4887873688403
154,"24.959785624309,121.10413080634",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",3880.0374268532414,5028.34146068793,4777.569276378231,6877.659655731445,898.4070030897273
163,"24.9596676547425,121.169436283025",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",2728.8604056756194,4213.820087841891,3890.6407032656316,355.10638480459227,5724.266924122478
165,"24.924268693879,121.146180268795",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",4156.3991990708855,7149.417871288703,1198.8435782954275,4903.841760760896,5339.35994536788
166,"24.924885633571,121.146901766355",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",4095.6060316846683,7085.369403299579,1160.0041689321952,4807.150066035806,5333.321307739426
171,"24.972062641843003,121.133583310165",10,"24.961640445559524,121.14249989390768","24.988723026929986,121.14249989390768","24.934557864189063,121.14249989390768","24.961640445559524,121.17220807453288","24.961640445559524,121.11279171328249",1464.076278572065,2053.3906560062364,4250.953201980297,4067.5002729980656,2395.96575003816
