year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2012,7,8.0,8.0,20.0,20.0,5.0,0
2012,8,17.0,13.0,11.0,34.0,8.0,0
2012,9,14.0,22.0,31.0,27.0,8.0,0
2012,10,22.0,25.0,29.0,37.0,17.0,0
2012,11,29.0,22.0,32.0,33.0,19.0,0
2012,12,55.0,40.0,37.0,83.0,24.0,0
2013,1,50.0,85.0,27.0,79.0,24.0,0
2013,2,29.0,28.0,17.0,41.0,16.0,0
2013,3,55.0,33.0,31.0,69.0,30.0,0
2013,4,67.0,50.0,24.0,60.0,35.0,0
2013,5,54.0,52.0,47.0,75.0,30.0,0
2013,6,66.0,45.0,49.0,73.0,36.0,0
2013,7,54.0,32.0,37.0,51.0,29.0,0
2013,8,64.0,26.0,37.0,67.0,40.0,0
2013,9,81.0,39.0,54.0,65.0,43.0,0
2013,10,94.0,30.0,70.0,63.0,32.0,0
2013,11,68.0,24.0,50.0,57.0,27.0,0
2013,12,82.0,36.0,49.0,74.0,28.0,0
2014,1,47.0,22.0,41.0,46.0,23.0,0
2014,2,40.0,22.0,32.0,42.0,19.0,0
2014,3,45.0,18.0,29.0,42.0,22.0,0
2014,4,81.0,12.0,46.0,59.0,23.0,0
2014,5,48.0,14.0,13.0,55.0,19.0,0
2014,6,32.0,18.0,20.0,39.0,10.0,0
2014,7,50.0,10.0,35.0,55.0,17.0,0
2014,8,48.0,23.0,34.0,33.0,9.0,0
2014,9,52.0,11.0,29.0,37.0,14.0,0
2014,10,25.0,14.0,21.0,42.0,13.0,0
2014,11,35.0,15.0,19.0,47.0,10.0,0
2014,12,55.0,27.0,48.0,82.0,30.0,0
2015,1,27.0,9.0,19.0,35.0,12.0,0
2015,2,13.0,6.0,17.0,23.0,8.0,0
2015,3,21.0,13.0,20.0,31.0,7.0,0
2015,4,29.0,10.0,23.0,39.0,6.0,0
2015,5,35.0,9.0,38.0,48.0,22.0,0
2015,6,33.0,16.0,37.0,71.0,10.0,0
2015,7,14.0,11.0,17.0,30.0,14.0,0
2015,8,19.0,11.0,25.0,44.0,4.0,0
2015,9,29.0,3.0,24.0,25.0,14.0,0
2015,10,13.0,5.0,18.0,28.0,9.0,0
2015,11,28.0,20.0,13.0,42.0,14.0,0
2015,12,28.0,11.0,31.0,54.0,17.0,0
2016,1,18.0,6.0,17.0,50.0,3.0,0
2016,2,7.0,4.0,12.0,24.0,6.0,0
2016,3,15.0,3.0,21.0,20.0,2.0,0
2016,4,9.0,6.0,8.0,22.0,3.0,0
2016,5,24.0,13.0,13.0,29.0,3.0,0
2016,6,14.0,6.0,7.0,22.0,8.0,0
2016,7,19.0,5.0,7.0,26.0,9.0,0
2016,8,17.0,8.0,12.0,38.0,4.0,0
2016,9,14.0,9.0,13.0,24.0,6.0,0
2016,10,11.0,8.0,14.0,18.0,11.0,0
2016,11,34.0,3.0,17.0,32.0,6.0,0
2016,12,25.0,1.0,13.0,34.0,6.0,0
2017,1,11.0,2.0,13.0,15.0,5.0,0
2017,2,8.0,5.0,5.0,15.0,4.0,0
2017,3,14.0,11.0,13.0,35.0,4.0,0
2017,4,21.0,25.0,18.0,27.0,0.0,0
2017,5,17.0,8.0,11.0,21.0,4.0,0
2017,6,8.0,13.0,13.0,28.0,3.0,0
2017,7,7.0,1.0,9.0,26.0,5.0,0
2017,8,18.0,5.0,9.0,36.0,7.0,0
2017,9,15.0,4.0,15.0,29.0,2.0,0
2017,10,20.0,4.0,13.0,42.0,6.0,0
2017,11,24.0,6.0,9.0,21.0,9.0,0
2017,12,14.0,7.0,6.0,21.0,10.0,0
2018,1,20.0,4.0,12.0,25.0,11.0,0
2018,2,13.0,1.0,5.0,21.0,7.0,0
2018,3,21.0,5.0,17.0,30.0,5.0,0
2018,4,40.0,3.0,15.0,48.0,6.0,0
2018,5,32.0,9.0,13.0,41.0,5.0,0
