year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2012,7,30.0,27.0,31.0,40.0,16.0,0
2012,8,44.0,36.0,25.0,51.0,27.0,0
2012,9,51.0,39.0,40.0,40.0,29.0,0
2012,10,66.0,54.0,52.0,72.0,37.0,0
2012,11,68.0,61.0,56.0,66.0,52.0,0
2012,12,122.0,102.0,76.0,132.0,79.0,0
2013,1,119.0,153.0,64.0,135.0,54.0,0
2013,2,74.0,65.0,44.0,69.0,30.0,0
2013,3,129.0,115.0,66.0,126.0,88.0,0
2013,4,132.0,117.0,65.0,106.0,77.0,0
2013,5,135.0,127.0,92.0,126.0,81.0,0
2013,6,160.0,129.0,93.0,124.0,82.0,0
2013,7,130.0,97.0,82.0,93.0,93.0,0
2013,8,137.0,107.0,84.0,116.0,94.0,0
2013,9,190.0,124.0,115.0,112.0,121.0,0
2013,10,202.0,80.0,161.0,117.0,106.0,0
2013,11,161.0,84.0,116.0,107.0,77.0,0
2013,12,176.0,112.0,113.0,136.0,81.0,0
2014,1,120.0,52.0,90.0,85.0,63.0,0
2014,2,107.0,46.0,71.0,81.0,46.0,0
2014,3,93.0,42.0,62.0,71.0,57.0,0
2014,4,143.0,60.0,94.0,106.0,57.0,0
2014,5,86.0,43.0,43.0,87.0,37.0,0
2014,6,68.0,37.0,48.0,61.0,42.0,0
2014,7,105.0,46.0,79.0,75.0,54.0,0
2014,8,94.0,46.0,79.0,59.0,53.0,0
2014,9,98.0,39.0,61.0,59.0,39.0,0
2014,10,60.0,49.0,41.0,71.0,39.0,0
2014,11,77.0,39.0,45.0,72.0,33.0,0
2014,12,150.0,81.0,110.0,129.0,73.0,0
2015,1,60.0,34.0,34.0,59.0,25.0,0
2015,2,35.0,13.0,26.0,35.0,24.0,0
2015,3,45.0,30.0,33.0,49.0,16.0,0
2015,4,68.0,37.0,45.0,62.0,25.0,0
2015,5,100.0,27.0,75.0,75.0,53.0,0
2015,6,83.0,38.0,75.0,90.0,38.0,0
2015,7,52.0,22.0,47.0,41.0,35.0,0
2015,8,58.0,36.0,51.0,66.0,23.0,0
2015,9,59.0,17.0,49.0,55.0,27.0,0
2015,10,40.0,18.0,34.0,38.0,26.0,0
2015,11,66.0,35.0,47.0,56.0,41.0,0
2015,12,81.0,44.0,68.0,87.0,42.0,0
2016,1,47.0,19.0,35.0,60.0,15.0,0
2016,2,30.0,9.0,21.0,26.0,17.0,0
2016,3,38.0,7.0,41.0,29.0,35.0,0
2016,4,30.0,15.0,27.0,34.0,17.0,0
2016,5,46.0,26.0,39.0,52.0,19.0,0
2016,6,36.0,14.0,25.0,36.0,19.0,0
2016,7,36.0,19.0,23.0,35.0,31.0,0
2016,8,44.0,13.0,30.0,47.0,17.0,0
2016,9,40.0,17.0,41.0,37.0,31.0,0
2016,10,36.0,13.0,39.0,26.0,26.0,0
2016,11,58.0,20.0,39.0,53.0,22.0,0
2016,12,47.0,18.0,34.0,48.0,14.0,0
2017,1,27.0,13.0,21.0,23.0,11.0,0
2017,2,26.0,25.0,13.0,22.0,15.0,0
2017,3,45.0,31.0,19.0,43.0,22.0,0
2017,4,39.0,35.0,44.0,36.0,9.0,0
2017,5,31.0,18.0,24.0,30.0,18.0,0
2017,6,29.0,21.0,37.0,37.0,18.0,0
2017,7,20.0,6.0,22.0,33.0,19.0,0
2017,8,43.0,20.0,34.0,52.0,20.0,0
2017,9,36.0,17.0,33.0,38.0,20.0,0
2017,10,48.0,14.0,29.0,46.0,19.0,0
2017,11,42.0,17.0,32.0,40.0,26.0,0
2017,12,34.0,14.0,24.0,33.0,21.0,0
2018,1,42.0,15.0,34.0,43.0,23.0,0
2018,2,24.0,6.0,16.0,24.0,15.0,0
2018,3,49.0,14.0,49.0,52.0,17.0,0
2018,4,65.0,23.0,52.0,78.0,21.0,0
2018,5,59.0,26.0,41.0,58.0,22.0,0
2018,6,78.0,24.0,61.0,64.0,30.0,0
2018,7,69.0,25.0,49.0,56.0,33.0,0
2018,8,71.0,30.0,57.0,61.0,34.0,0
2018,9,79.0,43.0,43.0,73.0,23.0,0
2018,10,60.0,26.0,32.0,66.0,17.0,0
2018,11,51.0,15.0,43.0,44.0,26.0,0
2018,12,44.0,16.0,36.0,37.0,22.0,0
2019,1,65.0,33.0,39.0,67.0,22.0,0
2019,2,38.0,17.0,29.0,40.0,14.0,0
