year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2021,1,2.0,3.0,3.0,6.0,0.0,0
2021,2,2.0,3.0,0.0,7.0,5.0,0
2021,3,12.0,8.0,2.0,8.0,1.0,0
2021,4,8.0,4.0,3.0,10.0,2.0,0
2021,5,3.0,2.0,5.0,9.0,10.0,0
2021,6,0.0,5.0,2.0,6.0,10.0,0
2021,7,2.0,7.0,1.0,5.0,11.0,0
2021,8,5.0,3.0,1.0,14.0,8.0,0
2021,9,1.0,4.0,4.0,3.0,5.0,0
2021,10,1.0,6.0,1.0,4.0,4.0,0
2021,11,0.0,4.0,4.0,7.0,7.0,0
2021,12,7.0,1.0,4.0,7.0,5.0,0
2022,1,2.0,7.0,7.0,9.0,4.0,0
2022,2,2.0,8.0,7.0,4.0,0.0,0
2022,3,3.0,2.0,3.0,13.0,4.0,0
2012,7,2.0,0.0,0.0,3.0,3.0,10
2012,8,1.0,0.0,2.0,13.0,5.0,10
2012,9,3.0,0.0,2.0,13.0,7.0,10
2012,10,5.0,5.0,1.0,8.0,2.0,10
2012,11,3.0,7.0,2.0,12.0,2.0,10
2012,12,6.0,3.0,1.0,21.0,5.0,10
2013,1,10.0,1.0,5.0,19.0,3.0,10
2013,2,8.0,5.0,1.0,10.0,3.0,10
2013,3,16.0,8.0,1.0,13.0,1.0,10
2013,4,12.0,3.0,2.0,26.0,0.0,10
2013,5,8.0,9.0,2.0,17.0,5.0,10
2013,6,14.0,4.0,1.0,17.0,4.0,10
2013,7,4.0,3.0,1.0,15.0,2.0,10
2013,8,3.0,2.0,4.0,14.0,6.0,10
2013,9,4.0,5.0,0.0,8.0,1.0,10
2013,10,3.0,5.0,0.0,10.0,2.0,10
2013,11,3.0,5.0,1.0,16.0,5.0,10
2013,12,5.0,0.0,1.0,16.0,5.0,10
2014,1,7.0,1.0,0.0,4.0,0.0,10
2014,2,1.0,1.0,1.0,12.0,1.0,10
2014,3,9.0,5.0,3.0,12.0,0.0,10
2014,4,6.0,2.0,3.0,13.0,1.0,10
2014,5,3.0,1.0,0.0,9.0,1.0,10
2014,6,6.0,1.0,4.0,8.0,1.0,10
2014,7,3.0,0.0,2.0,3.0,1.0,10
2014,8,3.0,4.0,3.0,3.0,1.0,10
2014,9,2.0,1.0,1.0,4.0,0.0,10
2014,10,5.0,2.0,1.0,3.0,1.0,10
2014,11,3.0,1.0,0.0,2.0,0.0,10
2014,12,4.0,0.0,2.0,7.0,0.0,10
2015,1,6.0,3.0,3.0,4.0,2.0,10
2015,2,0.0,1.0,2.0,1.0,1.0,10
2015,3,1.0,1.0,2.0,5.0,4.0,10
2015,4,8.0,2.0,2.0,3.0,1.0,10
2015,5,8.0,0.0,2.0,3.0,2.0,10
2015,6,5.0,0.0,0.0,3.0,0.0,10
2015,7,1.0,0.0,2.0,3.0,1.0,10
2015,8,2.0,0.0,0.0,1.0,1.0,10
2015,9,4.0,0.0,2.0,4.0,0.0,10
2015,10,4.0,0.0,1.0,7.0,1.0,10
2015,11,1.0,2.0,0.0,0.0,1.0,10
2015,12,1.0,1.0,2.0,7.0,1.0,10
2016,1,5.0,0.0,2.0,0.0,1.0,10
2016,2,0.0,0.0,2.0,0.0,0.0,10
2016,3,5.0,0.0,0.0,2.0,2.0,10
2016,4,0.0,0.0,1.0,2.0,2.0,10
2016,5,1.0,1.0,1.0,9.0,0.0,10
2016,6,1.0,1.0,0.0,2.0,1.0,10
2016,7,2.0,0.0,1.0,3.0,1.0,10
2016,8,1.0,0.0,0.0,6.0,2.0,10
2016,9,2.0,0.0,0.0,4.0,1.0,10
2016,10,3.0,0.0,0.0,1.0,1.0,10
2016,11,1.0,0.0,0.0,3.0,1.0,10
2016,12,15.0,1.0,0.0,2.0,1.0,10
2017,1,8.0,1.0,0.0,2.0,2.0,10
2017,2,4.0,0.0,1.0,3.0,1.0,10
2017,3,9.0,0.0,0.0,8.0,0.0,10
2017,4,8.0,1.0,1.0,5.0,0.0,10
2017,5,5.0,1.0,1.0,2.0,0.0,10
2017,6,8.0,0.0,1.0,5.0,3.0,10
2017,7,4.0,1.0,1.0,4.0,3.0,10
2017,8,4.0,2.0,0.0,5.0,0.0,10
2017,9,1.0,0.0,1.0,3.0,1.0,10
2017,10,3.0,1.0,0.0,4.0,0.0,10
2017,11,6.0,0.0,1.0,7.0,0.0,10
2017,12,2.0,1.0,3.0,4.0,1.0,10
2018,1,0.0,0.0,3.0,3.0,1.0,10
2018,2,5.0,0.0,1.0,4.0,1.0,10
2018,3,1.0,0.0,0.0,8.0,1.0,10
2018,4,3.0,4.0,2.0,7.0,1.0,10
2018,5,4.0,1.0,0.0,4.0,0.0,10
2018,6,2.0,0.0,1.0,4.0,2.0,10
2018,7,2.0,5.0,0.0,4.0,4.0,10
2018,8,3.0,3.0,3.0,6.0,0.0,10
2018,9,4.0,2.0,0.0,1.0,3.0,10
2018,10,0.0,1.0,0.0,2.0,2.0,10
